activity,occupation,lmd_share,bench_share,diff_pp
awatd,cler,0.07831,0.07887,-0.05622
awatd,sale,0.00908,0.00907,0.00064
awatd,skag,0.00000,0.00000,0.00000
awatd,craf,0.08464,0.08987,-0.52350
awatd,oper,0.53408,0.53701,-0.29327
awatd,elmn,0.04220,0.04254,-0.03365
awatd,doms,0.00000,0.00000,0.00000
aweav,mang,0.30279,0.30138,0.14138
aweav,prof,0.00289,0.00294,-0.00509
aweav,tech,0.03486,0.03551,-0.06504
aweav,cler,0.03394,0.03456,-0.06208
aweav,sale,0.00848,0.00864,-0.01616
aweav,skag,0.00000,0.00000,0.00000
aweav,craf,0.22376,0.21818,0.55851
aweav,oper,0.28911,0.29274,-0.36341
aweav,elmn,0.10418,0.10606,-0.18813
aweav,doms,0.00000,0.00000,0.00000
awood,mang,0.21811,0.20127,1.68358
awood,prof,0.00732,0.00759,-0.02749
awood,tech,0.06886,0.07111,-0.22524
awood,cler,0.05950,0.06127,-0.17697
awood,sale,0.02604,0.02704,-0.09991
awood,skag,0.00432,0.00446,-0.01329
awood,craf,0.31082,0.31561,-0.47900
awood,oper,0.18144,0.18428,-0.28443
awood,elmn,0.12360,0.12737,-0.37726
awood,doms,0.00000,0.00000,0.00000
awtrd,mang,0.38646,0.38784,-0.13853
awtrd,prof,0.01877,0.01915,-0.03790
awtrd,tech,0.08625,0.08840,-0.21525
awtrd,cler,0.18357,0.17456,0.90113
awtrd,sale,0.12840,0.12963,-0.12300
awtrd,skag,0.00034,0.00035,-0.00093
awtrd,craf,0.03819,0.03917,-0.09824
awtrd,oper,0.06797,0.06874,-0.07760
awtrd,elmn,0.09006,0.09216,-0.20968
awtrd,doms,0.00000,0.00000,0.00000
awtrp,mang,0.30373,0.30383,-0.01026
awtrp,prof,0.00000,0.00000,0.00000
awtrp,tech,0.00000,0.00000,0.00000
awtrp,cler,0.25371,0.25401,-0.02932
awtrp,sale,0.38726,0.38686,0.03941
awtrp,skag,0.00000,0.00000,0.00000
awtrp,craf,0.00412,0.00411,0.00113
awtrp,oper,0.04196,0.04195,0.00106
awtrp,elmn,0.00921,0.00923,-0.00201
